title,description,answer,type,category,priority,language,tag
Overtime calculation appears off for Mia Scott  Observed that sync completes after 10–15 min then reverts.," Employee Mia Scott (ID EMP50007) reports clock-in problem at Clinic North. Phone +1-635-727-6525, email miascott42@mailinator.com. GPS 44.146569,-79.188822. Issue started today 08:15. Manager Ethan Parker unable to approve. Timesheet shows 10h instead of 11h. Device OnePlus 10 (OS iPadOS 17.4), app v10.5.9, network Corporate VPN. Error code SYNC-409. Ref:1056-518   ","Enabled background refresh and pushed app config policy. If crash persists, send diagnostics via Settings -> Support.",Problem,Times & Attendance,low,en,Session
Punch recorded twice for Daniel Jackson," Employee Joao Sanchez (ID EMP56154) reports clock-in problem at Clinic North. Phone +1-934-309-4730, email joaosanchez497@contoso.com. GPS 43.93544,-79.332114. Issue started end of quarter. Manager Emile Anderson unable to approve. Timesheet shows 8h instead of 7h. Device Pixel 7 (OS iOS 16.7), app v7.9.7, network LTE. Error code E_TIMEOUT. Ref:461-365  Additional context: user cleared cache and rebooted.   ",Cleared app cache and forced a re-sync; verify location services and try again near site perimeter.,Incident,Times & Attendance,low,en,DevicePolicy
Profile picture upload fails...,"Employee Joao Sanchez (ID EMP56154) reports clock-in problem at Clinic North. Phone +1-934-309-4730, email joaosanchez497@contoso.com. GPS 43.93544,-79.332114. Issue started end of quarter. Manager Emile Anderson unable to approve. Timesheet shows 8h instead of 7h. Device Pixel 7 (OS iOS 16.7), app v7.9.7, network LTE. Error code E_TIMEOUT. Ref:461-365  Additional context: user cleared cache and rebooted.","Enabled background refresh and pushed app config policy. If crash persists, send diagnostics via Settings -> Support.",Question,Mobile App & UI issues,low,en,Slow
Kiosk PIN rejected for Aarav Johnson,"Employee Aarav Johnson (ID EMP87445) reports clock-in problem at Clinic North. Phone +1-361-264-3032, email aaravjohnson427@sample.io. GPS 43.793251,-79.246. Issue started during night shift. Manager Marco Lee unable to approve. Timesheet shows 10h instead of 12h. Device iPhone 14 Pro (OS Android 13), app v10.4.6, network Wi-Fi. Error code PUNCH-403. Ref:1127-880","Enabled background refresh and pushed app config policy. If crash persists, send diagnostics via Settings -> Support.",Question,Times & Attendance,low,en,UI-Bug
Buttons overlap on small screen — UI layout bug,User Luca Thompson experienced an application crash on iPad Mini (OS iPadOS...,Cleared appp cache and forced a re-sync; verify location services and try again near site perimeter.,Incident,Mobile App & UI issues,low,en,Slow
Slow loading of schedule on LTE,"User Jia Cook experienced an appplication crash on Samsung Galaxy S22 (OS iPadOS 17.4) when opening the Schedule screen. Email jiacook566@demo.co / phone +1-874-357-3229. After MFA code 095097, the screen froze. Build v7.7.5, network LTE. Logs show error code NPE-UI-22. Occurred end of quarter. Ref:997-848",Expanded geofence radius to 200m & updated kiosk firmware to v3.2.1; retry the punch.,Incident,Mobile App & UI issues,low,en,TimeOff
Schedule missing shifts for Ai...,"Employee Aiden Adams (ID EMP25050) reports clock-in problem at Office NYC. Phone +1-381-398-6820, email aidenadams44@fabrikam.org. GPS 43.733994,-79.116806. Issue started yesterday 17:40. Manager Mia Johnson unable to approve. Timesheet shows 8.5h instead of 9.5h. Device iPad Mini (OS Android 13), app v7.4.7, network Wi-Fi. Error code HTTP 504. Ref:1170-671",Corrected pay policy rule for overtime after 40h; retro calculation queued and will reflect before payroll cutoff.,Request,Times & Attendance,low,en,Login
Shift swap request not visible for team...,"Employee Charlotte Thompson (ID EMP63288) reports clock-in problem at Retail Store #214. Phone +1-683-522-9270, email charlottethompson701@contoso.com. GPS 43.673622,-79.420833. Issue started during night shift. Manager Ethan Parker unable to approve. Timesheet shows 9h instead of 10h. Device iPhone 12 (OS iOS 17.4), app v8.8.6, network Corporate VPN. Error code AUTH-401-MFA. Ref:718-401",Cleared app cache and forced a re-sync; verify location services and try again near site perimeter.,Request,Times & Attendance,medium,en,Session
Geofencing blocks punch at Warehouse A...,"Employee Arjun Perez (ID EMP33863) reports clock-in problem at Warehouse A. Phone +1-737-512-7032, email arjunperez271@sample.io. GPS 44.005373,-79.469158. Issue started around lunch break. Manager Emma Roberts unable to approve. Timesheet shows 8h instead of 8.5h. Device Samsung Galaxy S22 (OS iPadOS 17.4), app v7.7.3, network LTE. Error code SYNC-409. Ref:1616-982",Cleared app cache and forced a re-sync; verify location services and try again near site perimeter.,Incident,Times & Attendance,high,en,Session
Overtime calculation apppears off for Isabella Phillips,"Employee Joao Sanchez (ID EMP56154) reports clock-in problem at Clinic North. Phone +1-934-309-4730, email joaosanchez497@contoso.com. GPS 43.93544,-79.332114. Issue started end of quarter. Manager Emile Anderson unable to approve. Timesheet shows 8h instead of 7h. Device Pixel 7 (OS iOS 16.7), app v7.9.7, network LTE. Error code E_TIMEOUT. Ref:461-365  Additional context: user cleared cache and rebooted.","Enabled background refresh and pushed app config policy. If crash persists, send diagnostics via Settings -> Support.",Incident,Times & Attendance,medium,en,Crash
Profile picture upload fails,"User Aarav Scott experienced an application crash on Pixel 7 (OS iOS 17.4) when opening the Approvals screen. Email aaravscott343@mailinator.com / phone +1-856-965-3600. After MFA code 739344, the screen froze. Build v8.5.7, network Corporate VPN. Logs show err0r code CRASH-09. Occurred since last Friday. Ref:520-984  Impact: affects payroll cutoff if not resolved before Friday.",Corrected pay policy rule for overtime after 40h; retro calculation queued and will reflect before payroll cutoff.,Incident,Mobile App & UI issues,low,en,Schedule
Kiosk PIN rejected for Luis Garcia,"Employee Luis Garcia (ID EMP47817) reports clock-in problem at Office NYC. Phone +1-419-816-4632, email luisgarcia680@demo.co. GPS 43.891278,-79.230192. Issue started after daylight saving change. Manager Zoe Edwards unable to approve. Timesheet shows 9h instead of 10h. Device iPad Mini (OS iOS 16.7), app v9.7.1, network Wi-Fi. Error code HTTP 504. Ref:0-780  Additional context: user cleared cache and rebooted.",Expanded geofence radius to 200m and updated kiosk firmware to v3.2.1; retry the punch.,Incident,Times & Attendance,urgent,en,Sync
Geofencing blocks punch at Call Center West,"Employee Arjun Baker (ID EMP77880) reports clock-in problem at Call Center West. Phone +1-927-499-9797, email arjunbaker484@mailinator.com. GPS 43.917427,-79.566494. Issue started after update this morning. Manager Hao Parker unable to approve. Timesheet shows 8h instead of 10h. Device OnePlus 10 (OS iPadOS 17.4), app v9.9.9, network LTE. Error code E_TIMEOUT. Ref:1562-438",Expanded geofence radius to 200m and updated kiosk firmware to v3.2.1; retry teh punch.,Incident,Times & Attendance,medium,en,DevicePolicy
Clock-in failed for Avery Bell at Office NYC,"Employee Avery Bell (ID EMP93253) reports clock-in problem at Office NYC. Phone +1-801-549-3178, email averybell707@sample.io. GPS 43.680389,-79.191175. Issue started during night shift. Manager Mason Smith unable to appprove. Timesheet shows 8.5h instead of 7.5h. Device Galaxy A54 (OS Android 14), appp v9.1.1, network LTE. Error code PUNCH-403. Ref:503-491","Enabled background refresh and pushed app config policy. If crash persists, send diagnostics via Settings -> Support.",Incident,Times & Attendance,low,en,Overtime
Buttons overlap on small screen — UI layout bug," User Diego Anderson experienced an application crash on Galaxy A54 (OS Android 13) when opening the Settings screen. Email diegoanderson506@fabrikam.org / phone +1-892-224-2605. After MFA code 342256, the screen froze. Build v10.8.8, network Corporate VPN. Logs show error code E_TIMEOUT. Occurred end of quarter. Ref:1000-834   ",Expanded geofence radius to 200m and updated kiosk firmware to v3.2.1; retry the punch.,Incident,Mobile App & UI issues,low,en,Timesheet
Schedule missing shifts for Diego Bell," Employee Diego Bell (ID EMP53810) reports clock-in problem at Call Center West. Phone +1-710-884-6130, email diegobell474@mailinator.com. GPS 43.695178,-79.204619. Issue started around lunch break. Manager Isabella Campbell unable to approve. Timesheet shows 8h instead of 7h. Device iPhone 12 (OS iOS 16.7), app v10.9.5, network 5G. Error code E_TIMEOUT. Ref:1852-897   ",Expanded geofence radius to 200m & updated kiosk firmware to v3.2.1; retry teh punch.,Question,Times & Attendance,medium,en,DevicePolicy
